age,highschool_gpa,college_gpa,internships,projects,certifications,hackathons,communication_skills,technical_skills,aptitude_score,coding_score,attendance_percentage,backlogs,volunteering,english_proficiency,quantitative_score,logical_reasoning,extracurricular,leadership_experience,placed
23,2.65,2.82,0,9,3,3,7,1,49,62,80.01,0,1,8,94,75,2,1,0
24,2.04,3.05,2,1,2,1,10,8,75,30,96.14,3,1,9,39,67,0,0,0
22,3.52,3.89,0,1,4,3,8,3,60,89,82.17,2,1,2,14,76,3,0,1
24,2.09,3.19,0,9,4,4,2,4,96,41,78.9,2,1,6,27,74,1,1,0
24,3.73,3.32,3,5,3,1,7,2,50,87,62.3,4,0,6,56,79,0,1,1
21,2.24,2.13,3,4,5,3,5,8,80,65,63.24,4,1,7,63,43,3,0,0
22,2.34,2.33,1,2,1,2,9,3,68,40,71.8,4,0,5,74,77,4,1,0
22,2.95,2.6,3,9,5,0,7,2,92,0,94.56,1,0,3,92,15,0,0,0
22,3.48,3.08,0,6,3,3,1,1,98,73,78.97,3,1,10,4,51,1,1,0
24,2.28,3.55,0,9,5,0,1,10,49,86,74.73,2,0,3,61,52,1,1,1
23,2.88,2.64,3,5,1,1,6,2,52,32,77.13,3,1,6,41,85,2,0,0
22,2.97,2.71,3,4,4,1,9,2,71,36,91.69,1,1,1,65,17,4,0,0
24,2.42,2.51,3,7,3,4,1,4,32,56,83.89,1,1,8,19,39,4,1,0
21,2.23,2.51,0,5,0,0,3,1,56,10,96.37,2,0,7,85,60,1,1,0
23,3.67,3.9,2,8,1,2,5,1,53,83,79.09,2,1,7,39,24,3,1,1
21,3.0,3.27,2,8,1,2,4,6,38,89,59.8,4,0,6,26,34,1,0,0
23,2.03,2.31,3,2,1,3,1,5,31,46,50.94,1,0,3,20,70,0,1,0
24,3.61,3.44,1,5,4,2,10,1,35,65,65.86,4,1,9,19,83,2,0,0
20,3.96,3.44,1,8,5,0,4,6,100,88,53.14,2,0,10,31,26,0,1,1
23,3.21,3.33,2,3,2,1,4,8,50,3,70.35,1,1,6,53,92,4,0,0
21,3.01,2.27,3,7,0,0,10,5,58,82,59.39,1,1,6,35,9,0,0,1
24,3.76,2.82,0,3,3,0,4,3,42,76,70.25,0,0,6,57,74,4,0,0
23,3.91,2.21,1,6,5,1,3,3,98,82,69.96,1,0,6,66,19,2,0,1
20,3.51,3.63,1,2,1,0,7,2,71,76,63.81,4,0,6,71,32,4,0,0
20,2.89,3.31,0,6,4,2,1,9,30,54,82.64,0,1,4,29,100,2,1,0
22,3.18,3.01,0,6,1,3,2,9,49,11,71.67,1,1,2,67,76,3,1,0
22,3.4,2.69,3,8,5,3,1,7,72,65,94.67,0,1,1,6,79,3,0,1
21,2.39,2.37,0,5,3,0,4,1,30,36,53.8,1,0,8,23,10,2,0,0
23,2.89,2.21,0,1,0,1,5,1,69,22,70.53,3,1,5,8,68,1,1,0
23,3.66,3.94,0,8,1,4,10,4,36,54,88.8,4,0,3,33,66,2,0,0
22,3.31,2.4,2,9,4,0,5,2,64,18,74.73,4,0,9,98,58,4,0,0
23,2.82,2.12,0,1,4,0,2,3,81,66,98.3,0,1,3,72,65,3,0,0
